Date,APR
2021-08-31,3.25930221862565
2021-09-01,168.435822940908
2021-09-02,58.4052694555162
2021-09-03,78.0757825938996
2021-09-04,17.9083945213629
2021-09-05,19.0535120431577
2021-09-06,87.4253935113403
2021-09-07,354.838878046149
2021-09-08,362.658863000154
2021-09-09,55.6295903549264
2021-09-10,71.4856747682947
2021-09-11,75.0379638374267
2021-09-12,84.3785550297431
2021-09-13,62.7276543866779
2021-09-14,41.5110012024924
2021-09-15,56.0701134237153
2021-09-16,66.2332753112396
2021-09-17,61.5269699102775
2021-09-18,61.7442828444774
2021-09-19,90.8621117627793
2021-09-20,231.58216725025
2021-09-21,221.438613522159
2021-09-22,171.012208501084
2021-09-23,39.1719432574372
2021-09-24,91.859169386093
2021-09-25,48.5049663028267
2021-09-26,59.6390586181505
2021-09-27,51.6714013081538
2021-09-28,93.4605656269093
2021-09-29,63.6852718568355
2021-09-30,34.2256688791358
2021-10-01,62.3962520668304
2021-10-02,36.4011669555615
2021-10-03,24.6697289261159
2021-10-04,48.1738746141752
2021-10-05,36.1567797645971
2021-10-06,59.7945820145032
2021-10-07,41.4435838993097
2021-10-08,27.3252117240302
2021-10-09,18.475646430962
2021-10-10,48.1158569830091
2021-10-11,55.8524997483933
2021-10-12,47.0797043170241
2021-10-13,37.3539538932715
2021-10-14,72.2745436361305
2021-10-15,71.3269013883368
2021-10-16,32.5365553042131
2021-10-17,100.422095561017
2021-10-18,65.3716660900679
2021-10-19,51.3370596892578
2021-10-20,103.431039263954
2021-10-21,154.018870216293
2021-10-22,58.5078880225286
2021-10-23,29.9764760498701
2021-10-24,33.4106894168641
2021-10-25,72.5134725749738
2021-10-26,47.3022769252131
2021-10-27,105.437999451018
2021-10-28,54.8125108801632
2021-10-29,54.3205643023587
2021-10-30,46.2495424647636
2021-10-31,39.2299911572278
2021-11-01,43.427108155056
2021-11-02,87.8055814962634
2021-11-03,51.8896348684107
2021-11-04,94.1368355904055
2021-11-05,44.5959705591204
2021-11-06,83.7760926403297
2021-11-07,56.5550659085576
2021-11-08,81.5519058793071
2021-11-09,31.5134559019954
2021-11-10,81.1155532315137
2021-11-11,29.2023235289435
2021-11-12,133.268014990535
2021-11-13,15.895877745312
2021-11-14,63.5021891332837
2021-11-15,54.9345938057347
2021-11-16,137.101117706426
2021-11-17,31.8954749936906
2021-11-18,70.9042438952612
2021-11-19,19.0729647186575
2021-11-20,31.4344196460239
2021-11-21,15.5229733885269
2021-11-22,29.3472685927355
2021-11-23,34.0530790416096
2021-11-24,39.6113559669058
2021-11-25,44.9706992913906
2021-11-26,82.2392026166799
2021-11-27,30.9544711833936
2021-11-28,30.9292894047033
2021-11-29,41.1272103068036
2021-11-30,48.0594906903234
2021-12-01,50.1322892430084
2021-12-02,57.2920426123288
2021-12-03,95.6226729791006
2021-12-04,115.724255182092
2021-12-05,25.0054028698789
2021-12-06,30.0307739436305
2021-12-07,22.1774225371609
2021-12-08,41.477809253378
2021-12-09,32.1956495451429
2021-12-10,32.0145920445056
2021-12-11,19.8768336084715
2021-12-12,28.1151743539883
2021-12-13,60.8159299609606
2021-12-14,32.9401602804512
2021-12-15,50.9932733966484
2021-12-16,31.8521335100128
2021-12-17,43.1056221539956
2021-12-18,26.6902760773227
2021-12-19,25.7279989469949
2021-12-20,38.6048498357021
2021-12-21,20.2103211120634
2021-12-22,24.7941106477808
2021-12-23,49.8530719401511
2021-12-24,20.8201136039041
2021-12-25,13.7054884120782
2021-12-26,15.791676378611
2021-12-27,23.3468172309965
2021-12-28,69.776959936038
2021-12-29,60.7549990583571
2021-12-30,21.0903657185011
2021-12-31,36.4279404478788
2022-01-01,24.3736901939489
2022-01-02,20.6701262985822
2022-01-03,94.3501259308522
2022-01-04,73.474359691575
2022-01-05,194.842024767543
2022-01-06,100.731738783626
2022-01-07,150.094716762082
2022-01-08,95.6573259083131
2022-01-09,27.6615240153959
2022-01-10,94.7206603071817
2022-01-11,97.1068811602151
2022-01-12,78.3046823750642
2022-01-13,53.9043555292091
2022-01-14,53.4937270170557
2022-01-15,61.4779120503754
2022-01-16,46.3947382243686
2022-01-17,83.0176500854506
2022-01-18,96.0523942730933
2022-01-19,52.6802267270113
2022-01-20,92.1390593942424
2022-01-21,229.197792381408
2022-01-22,126.739556298428
2022-01-23,62.4390965539569
2022-01-24,139.829609947267
2022-01-25,92.7785541271201
2022-01-26,100.375047772683
2022-01-27,60.9954142052263
2022-01-28,54.6585643245954
2022-01-29,37.8356886027468
2022-01-30,25.4386409789974
2022-01-31,48.4584612835861
2022-02-01,35.5145689830493
2022-02-02,49.9456655377441
2022-02-03,32.0650472191352
2022-02-04,52.5298766681277
2022-02-05,36.1899816082444
2022-02-06,24.6179749335271
2022-02-07,84.8933067333457
2022-02-08,36.1988520546586
2022-02-09,27.4752988628963
2022-02-10,66.3167224925784
2022-02-11,64.552619201351
2022-02-12,39.1088103605214
2022-02-13,35.6755322894511
2022-02-14,29.6255728755819
2022-02-15,20.1681965316881
2022-02-16,17.0111400142484
2022-02-17,8.43204355433742
2022-02-18,10.2477666279443
2022-02-19,10.2742383837864
2022-02-20,28.7384712884752
2022-02-21,21.4114052013116
2022-02-22,31.3134672534145
2022-02-23,22.6959549614816
2022-02-24,157.714832864254
2022-02-25,47.2031726471753
2022-02-26,37.2031951744786
2022-02-27,50.6390106921856
2022-02-28,69.0859068636865
2022-03-01,52.631155389661
2022-03-02,78.2798826615222
2022-03-03,99.3003105112664
2022-03-04,63.4890660814658
2022-03-05,17.1129725869762
2022-03-06,92.153611198155
