Date,APR,DPR,Balance
2021-08-31 - 2021-09-06,61.79478246925862,1.1851054172186584,1011.8510541721865
2021-09-07 - 2021-09-13,152.3938827747674,2.922622409379101,1041.4236398309615
2021-09-14 - 2021-09-20,87.07570310074736,1.669944990973237,1058.8148417391299
2021-09-21 - 2021-09-27,97.61390869941486,1.8720475640983674,1078.6363591922193
2021-09-28 - 2021-10-04,51.858932703651945,0.9945548737686675,1089.3639896728064
2021-10-05 - 2021-10-11,41.023451509257804,0.7867511248350811,1097.9345731151054
2021-10-12 - 2021-10-18,60.90934574143727,1.1681244388768792,1110.7598151865416
2021-10-19 - 2021-10-25,71.88507074767735,1.3786177951609353,1126.0729476602
2021-10-26 - 2021-11-01,55.82571333368577,1.0706301187282203,1138.1290237967007
2021-11-02 - 2021-11-08,71.47301242034204,1.3707153066914914,1153.7295325357804
2021-11-09 - 2021-11-15,58.49028690533115,1.1217315296912822,1166.6712804695942
2021-11-16 - 2021-11-22,47.89692327733166,0.9185711313460866,1177.3879860496936
2021-11-23 - 2021-11-29,43.41218683021234,0.8325624871547573,1187.1904767498102
2021-11-30 - 2021-12-06,60.266703931480365,1.1557998014256512,1200.9120219226288
2021-12-07 - 2021-12-13,33.81048732908683,0.6484203049413912,1208.6989793172575
2021-12-14 - 2021-12-20,35.70204488587539,0.6846967512359663,1216.974901960865
2021-12-21 - 2021-12-27,24.0745141893693,0.46170301185091805,1222.5937117366882
2021-12-28 - 2022-01-03,46.77774394059404,0.8971074180387898,1233.5616906171538
2022-01-04 - 2022-01-10,105.31176431938809,2.0196776718786755,1258.4756606513974
2022-01-11 - 2022-01-17,67.67142092024838,1.29780807244312,1274.8082593650631
2022-01-18 - 2022-01-24,114.15396222505812,2.189254070069608,1302.7170510687963
2022-01-25 - 2022-01-31,60.077195899279296,1.1521654008080962,1317.7265062016386
2022-02-01 - 2022-02-07,45.108060240453355,0.8650860868032151,1329.1259748689072
2022-02-08 - 2022-02-14,42.707629733862674,0.8190504332521609,1340.012186924538
2022-02-15 - 2022-02-21,16.61189451454163,0.3185842783610724,1344.2812550802018
2022-02-22 - 2022-02-28,59.407934350953724,1.13933024782651,1359.5970580351925
2022-03-01 - 2022-03-07,66.49804420316048,1.2753049573208857,1376.9360667159042
2022-03-08 - 2022-03-14,36.854531944585304,0.706799242772869,1386.6682404089188
2022-03-15 - 2022-03-21,21.368380723999426,0.40980456183012604,1392.350870115564
2022-03-22 - 2022-03-28,45.8498953638188,0.8793130617718673,1404.5939931821845
2022-03-29 - 2022-04-04,42.20370848989411,0.8093861902171473,1415.9625829916206
2022-04-05 - 2022-04-11,50.52775910599116,0.9690255171012003,1429.6836217334146
2022-04-12 - 2022-04-18,29.449189915279817,0.5647789846765991,1437.7581743763283
2022-04-19 - 2022-04-25,14.491427545642056,0.27791778854655996,1441.7539600992025
2022-04-26 - 2022-05-02,18.910888803740644,0.36267457979776574,1446.9828352157099
2022-05-03 - 2022-05-09,36.031042802323846,0.6910063003185395,1456.9815777715783
2022-05-10 - 2022-05-16,59.4556141275823,1.1402446545015783,1473.5947323291914
2022-05-17 - 2022-05-23,22.152491237125382,0.42484229769829496,1479.8551860487798
2022-05-24 - 2022-05-30,33.74629232499855,0.6471891678766845,1489.432648513149
2022-05-31 - 2022-06-06,9.996388687952168,0.19171156387853477,1492.288063136531
2022-06-07 - 2022-06-13,45.53286221710347,0.873232974026642,1505.3192145713028
2022-06-14 - 2022-06-20,37.766784690810574,0.7242945009196549,1516.2221588637296
2022-06-21 - 2022-06-27,14.815398594925199,0.2841309319574696,1520.5302150142547
2022-06-28 - 2022-07-04,24.020684363190586,0.4606706590200934,1527.5348515763606
2022-07-05 - 2022-07-11,23.29922626052934,0.4468344762293298,1534.3604039296222
2022-07-12 - 2022-07-18,29.191585289207012,0.5598386219847921,1542.9503460712622
2022-07-19 - 2022-07-25,33.16933277955984,0.6361241902929284,1552.76542646683
2022-07-26 - 2022-08-01,47.44290756940196,0.9098639807830514,1566.893479788304
2022-08-02 - 2022-08-08,19.614723327105814,0.37617277613627587,1572.7877064903219
2022-08-09 - 2022-08-15,36.40007512787074,0.698083632589302,1583.7670800447074
2022-08-16 - 2022-08-22,43.20230102855517,0.8285372799996882,1596.8891807312402
2022-08-23 - 2022-08-29,48.69603974431376,0.9338966526306749,1611.8024753363106
2022-08-30 - 2022-09-05,27.720216938631157,0.5316205988230633,1620.3711493075384
2022-09-06 - 2022-09-12,57.00080739677094,1.0931661692531414,1638.0844985281067
2022-09-13 - 2022-09-19,74.94520277733963,1.4373052587434996,1661.6287731681132
2022-09-20 - 2022-09-26,34.59415952162416,0.6634496346612853,1672.6528431931238
2022-09-27 - 2022-10-03,25.81485967852873,0.4950795006841125,1680.933804537383
2022-10-04 - 2022-10-10,21.147185439397926,0.405562460481604,1687.7510410341317
2022-10-11 - 2022-10-17,20.068705479607633,0.3848792831705573,1694.2468451425675
2022-10-18 - 2022-10-24,18.6954718910469,0.3585432965406255,1700.3214536326773
2022-10-25 - 2022-10-31,33.73699840651413,0.6470109283441066,1711.3227192546601
2022-11-01 - 2022-11-07,21.918791279404804,0.420360380700914,1718.5164419523403
2022-11-08 - 2022-11-14,98.97045473795167,1.8980635155223613,1751.1349755452907
2022-11-15 - 2022-11-21,38.742395039250475,0.7430048363691872,1764.1459931049446
2022-11-22 - 2022-11-28,44.12935284886193,0.8463163560055711,1779.0762491884086
2022-11-29 - 2022-12-05,32.508683856609075,0.623454210948667,1790.1679749799614
